text,rating,review_length,sentiment
"A remote this small and black is begging to be lost. I knew it the day we bought it. Somehow my 8 yr old has lost it...someday it will surface but, in the meantime, how do I watch my shows DOWNLOAD THE FIRE TV REMOTE APP. Hey it worked! I have an Apple iPhone 5S and am happy to say the app does indeed work and control my Fire TV stick. Best of all - the app is FREE.",3,79,Neutral
I can read a lot longer without pain in my hands since the cover holds it for me. Very nice shade of blue.,5,23,Positive
"While I've purchased items from Amazon for years, I rarely write reviews. I felt compelled to write one because, although there are only a few reviews at this point, I have never seen such a good product get such bad reviews. I'm hoping as more people purchase these, the star rating will be more accurate of the product itself. I'll address the three biggest complaints I've read from others:Sound Quality: I think these headphones sound great. I've never owned an expensive pair so I'm not able to compare them to higher-end offerings, but I've owned dozens of cheap and mid-range headphones in the 15-50 range. I'm not an audiophile or a musician so if I'm missing something that should be coming through, but isn't, I'm fine with my ignorance. I would say they're slightly better than Apple's buds (which I liked very much and used for years, most recently using their redesigned ones for about a year). There's no tinny, listening through a can sound that's all-too-common with headphones in this price range. As far as people saying they don't compare to Apple's buds, well I don't know, maybe they have some crazy exclusive version of Apple's buds that are amazing. But compared to the regular earpods, I think Amazon's headphones actually sound a bit better. They provide a nice, full sound and represent highs, lows and mids equally well (mainly listening to metal).Fit and Feel: Some people have complained about these falling, or feeling like they're going to fall, out of their ears. There's some validity to this, although obviously it depends on your specific ears. I don't feel like they're going to fall out at all, but if I give the cord a tug, they don't stay as secure as my Apple buds.Read more",3,296,Neutral
"25 for a case for a product that costs 50. Typical scam from Amazon just a warning, in the process of returning both items seeing as the Fire 7 is a broken device. To transfer any data to it, you must restart replug the device for each file... even a 5 thumb drive can do more without an interface.",1,59,Negative
"This review is for the second generation Kindle Paperwhite. Like all kindle e-readers before it, this is a great product. However, I am a bit disappointed as there is not a huge improvement over last year's model. For this review, I focused on features and enhancements exclusive to the new Paperwhite and tried to make comparisons to last year's model. Also, I found somethings misrepresented or confusing in the advertising, so I will try to clear them up.HARDWAREDesign - The Kindle white has a nice look and shape. It fits well and is easy to hold in one hand. It's fairly light, so it doesn't tire the hands too much. I can grip it for long periods before having to switching hands. Its design is very similar to the previous Paperwhite - almost identical. The height and width are the same, the buttons are in the same location, and although this version is slightly lighter, it is not noticeable.Display - Although not a huge improvement from last year's model, the display is one of the best features of the Paperwhite. Like most e-readers, the Paperwhite uses digital ink technology. This model employs a more advanced version. In addition, the lighting has been upgraded, so among other things, it is more evenly lit. Together, they make for incredible viewing. In my opinion, it's one of the best digital ink e-reader display on the market. I really enjoy reading on it, text look very sharp and crisp, with little to no eye strain.Processor - The Paperwhite has an upgraded processor, which means smoother page turns and navigation. I am able to open books, flip pages, and navigate menus fairly quickly. There is barely any lag as I flip through many pages at a time. Also, the flashing effect when turning pages shows up less if at all.Read more",3,306,Neutral
"Over the years, I've tried a variety of cases for the various models of Kindle and Fire tablet that I've purchased from Amazon. While I've found a few third party covers that have been durable and attractive, I found myself coming back to Amazon's own product when I purchased one of their new 8 Fire HD tablets, and I'm pleased with it.This is a very good quality cover, it fits well, and it provides support to the tablet both in landscape and portrait orientation. It's made of fabric on the outside, with a microfiber inner lining to protect the screen of the tablet when the cover is closed. It matches the color of the Fire tablet perfectly.My only hesitation in purchasing it was the price - the case all by itself is nearly half the price of the Fire tablet! But I suppose that says more about how cheap the tablet is, than how expensive the case is (kind of).Still, I decided to spend the money for this case. The tablet needs the protection and I know from experience that Amazon's cases are durable and will last for a long time (I've used my original Kindle Paperwhite - first generation model - with the Amazon leather case since it was first purchased).I'll post some photos of the cover to show how it is packaged and how it looks on the tablet. I'm very satisfied with it. Notice how the speakers are visible at the top of the tablet when it is propped up in landscape mode.",5,256,Positive
"Horrible screen. Nice on one side, totally different color on the other.",1,12,Negative
just okay! Product was for my girlfriend. Doesn't appear she uses it much except to steam music. Most of the questions I ask it I get nothing. I like Siri better.,2,31,Negative
Just really thought it would have been more useful without having to have to make additional purchases for music I like.,2,21,Negative
"I'm your typical middle-aged woman - I don't game, and I'm not super tech-savvy by any means....so take this review for what it is. The Fire TV was easy to install and I'm loving all the features, free movies, music and simple interface - this thing even has a screen saver that comes on when you're listening to music! We've always just had our Comcast cable service without DVR and occasionally used Comcast OnDemand to watch/rent movies - but I'll never watch from Comcast again. The voice recognition software is amazing and brought me to exactly what I was looking for every single time I searched. It's just so easy to find what you're looking for (unlike Comcast), and since I'm an Amazon Prime member most of what I want to view is free - oh and for the new release movies the cost to rent from Amazon is on average cheaper than Comcast OnDemand by a 1 or more. So happy with this purchase!",5,165,Positive
This is my second one and it is great! It can be used as a remote also. It was easy to pair with my Fire TV. I received my first one when I purchased the Gaming Edition of Fire TV and I liked it so much that I bought a second one for my son. He is a gamer and he was very happy with it.I would recommend this product for anyone who is a gamer. There are many more games available for the Fire TV and they play flawlessly on the Fire TV,5,94,Positive
"As a background, I am a retired Information Systems professional and I am writing my first impressions of the Fire HD 8 from the perspective of being a long-time Kindle user. I have all the current e-readers and Fire devices from Amazon including the basic Kindle, the Paperwhite (2013,2014,2015 models), the Fire HD6, Fire HD7, Fire HDX7 and Fire HDX8.9 (3rd and 4th generation). Here is a summary of my initial impressions of the new Fire HD8.Amazon removed the Fire HD7, the Fire HDX7 and the Fire HDX8.9 and replaced them with the Fire HD (7 screen), Fire HD 8 and Fire HD 10.HARDWARE:WHAT COMES IN THE BOX: The HD8 Fire, a short USB cord and a power adapter. Finally, Amazon ships a power adapter with their Fires so you can charge and use the device right out of the box. (Picture attached)SIZE: The HD8 is longer than the older HD7 but the same width as the discontinued HD7. It is also thinner. (8.4x5.0x0.3 versus 7.5x5.0x0.4). I have large hands and can hold it with one hand, but even with my hands, I really need to use both hands. Because it is longer, it seem top heavy to me. The back is also slick and slippery to hold. Mine has a habit of sliding off the table.Display: The resolution of the screen is 1280 x 800 same as the HD 7 but the pixel density is lower due to the longer screen length. In practical use, though, you can't tell the difference. The display is nice and bright but barely readable in bright sunlight. One nice touch is that now, you can choose your own wallpaper! It comes with 9 stock images and if you don't like one of them, you can choose your own image in your Amazon Photos folder.Read more",3,302,Neutral
"Updated 12/8/2014One year in...This review is for the the no-ad 64 GB wifi-only HDX 8.9.I use a Galaxy S5 Android smartphone so the HDX is for media / web surfing / offline viewing for travel. Since I had already been using Amazon Prime and Prime Music it was a no brainer for me to use the HDX to fill the role of media / web surfing on a tablet.Be informed about the download limitations to this device. Amazon has been adding clarification to this which should help would-be purchasers make a more informed opinion. This wasn't as obvious as it should have been when I ordered mine so they're listening which is good.Be aware that their most popular Prime content *may* not be available to download (and save) to your HDX. You can save certain videos to your HDX but you won't know which ones until you buy an HDX and try it out. *** Edited 12/21/2013 You can now see a list of Prime movies and shows that can be downloaded to the device. That's an improvement and more clearly shows the available downloadable Prime content. +1 for Amazon. ***I was also under the assumption that you could download as many videos as you'd like with the limiting factor being the memory capacity of the HDX. Also NOT the case. So again, I bought the larger capacity HDX under this assumption. That was dumb on my part as it turns out because you're not limited by storage capacity. You're limited the NUMBER of downloads you can have on your device. Kids' content can be really short so you may find yourself running into that limitation, but most people never will.Read more",3,282,Neutral
This Alexa is a super form of info with little wait time.,5,12,Positive
"DON'T BUY a reburbished Kindle. I've had to return them, twice. Apparently, Amazon's definition of refurbish is to take a Kindle with some problem or defect, simply repackage it and send out again to see if some different customer might take it off their hands.Both times, the 'refurbished' Kindles shorted out in different ways. The Kindles especially liked to misfunction while I was in the middle of working out at the gym.",1,72,Negative
"The Amazon Tap is a great mobile Bluetooth speakers, if you are invested in the Amazon eco-system. The produces good sound at all levels, plays music stored in your associated cloud accounts and does everything else the Echo can do, just with mobility added to it (as opposed to the Echo that always has to be plugged into the wall to work).",5,62,Positive
I have had some problems with it. I bought to replace the original cover that was chewed by my dog. I have had to restart my Kindle to get it to hold a charge which helped but the charge does not last as long as it did with my original cover.,3,51,Neutral
"My remote went out just a couple weeks after we received the Fire Stick.Put new batteries in it and it worked another couple weeks. Then, I didn't have time to get to it until the return time was out. I tried batteries again, cleaning the ports, and everything I could think of. Because I can't get the cheap remote working, this Fire Stick is STUCK on the television on which is was originally installed.... until I pay for a new remote. Amazon, you can do better than this. I see that there are many, many posts of people like me whose remotes just don't work. A phone app is nice, but shouldn't HAVE to be the only answer besides another remote that costs 30 of the original whole product.",2,129,Negative
"I've purchased two of these screen protectors at ATT for my Fire Phones. Both have performed perfectly for me, unlike some reviewers' experience. The screens on my phones don't look fuzzy when the orientation of the phone is changed, the edges do not collect lint from my pockets, and the protector does not keep the case from fitting the phone. Here's what the protector does do: It keeps my screens from collecting fingerprints or skin oil. I don't know about the ease of application because, for both my purchases, the employee at ATT attached the protectors for me (I don't have the steadiest hands). Watching them, it looked quite easy to do. There are no bubbles at all and no more screen glare/reflections. I haven't had to remove, replace, or clean the protectors (except for wiping off the surface just to be sure it's clean because the protector doesn't show any dirt or oil).",5,154,Positive
"Remote did not activate, nor did it connect to box.A poorly designed remote, replacing an even worse remote. Waste of time.Ordered two items, had to pay shipping on both. They were both shipped in the same padded envelope, why double shipping charges",1,42,Negative
Pretty good sound for the size and configuration of speaker. Easy to set up.,5,14,Positive
Amazon is the tip of leading technology. Always have had great luck with their product.,5,15,Positive
The connection drop's out on this unit pretty bad. I can hardly get thru a game and it will disconnect.,1,20,Negative
"I like the case for the primary reason that I bought it--to protect my new kindle, but as a stand it has its drawbacks. I am not comfortable at all with trying to use it in the vertical position, and in the horizontal it is stable enough for watching movies or videos, but at home I have another stand that I use if I am playing any of my games on the tablet. Good price, and I am pleased with it as protection for my tablet. Not near as pleased with it as a viable stand.",3,96,Neutral
"The case does what it is supposed to do. I think because I bought the tablet, Amazon should have reduced the price of case. Too pricey but I wanted a perfectly fitted case and not something that would or would not be compatible.",3,43,Neutral
Love it I bought it for my mother and father she is easy for them to use and they are in there 70s,5,23,Positive
We bought to give away at a Halloween party. We own them ourselves and they are awesome,5,17,Positive
This review can not be valid due to the device did not work for me. I would put it down. Just upgraded to the ECHO instead of the tap.,1,29,Negative
Changes the whole look of the Echo ... after i purchased i think i should have gone with the tan leather. But blue is my favorite color and it adds a bit of a pop to a mundane looking black disk! The texture is also really nice feel and look to it!,5,52,Positive
"I have had to change the batteries in this remote once or twice per month since I purchased it in March. After the battery's short life span after the first battery replacement, we stopped doing any gaming with it and just used the gaming controller. It did not make a difference. It still drained the batteries just as quickly. I do have the option of using the phone app, and I do, but what if I'm not home and someone else wants to use the fire tv This is very, very poor quality product. Of course. It went out of warranty 12 days ago. I guess I should have been more mindful of that date. I do not recommend this product and I think Amazon should extend the warranty coverage. It is ridiculous that this remote basically doesn't work.",1,139,Negative
My niece was used to carrying around my tablet with a handle on the case. This one is not good for toddler to handle,3,24,Neutral
"While I've purchased items from Amazon for years, I rarely write reviews. I felt compelled to write one because, although there are only a few reviews at this point, I have never seen such a good product get such bad reviews. I'm hoping as more people purchase these, the star rating will be more accurate of the product itself. I'll address the three biggest complaints I've read from others:Sound Quality: I think these headphones sound great. I've never owned an expensive pair so I'm not able to compare them to higher-end offerings, but I've owned dozens of cheap and mid-range headphones in the 15-50 range. I'm not an audiophile or a musician so if I'm missing something that should be coming through, but isn't, I'm fine with my ignorance. I would say they're slightly better than Apple's buds (which I liked very much and used for years, most recently using their redesigned ones for about a year). There's no tinny, listening through a can sound that's all-too-common with headphones in this price range. As far as people saying they don't compare to Apple's buds, well I don't know, maybe they have some crazy exclusive version of Apple's buds that are amazing. But compared to the regular earpods, I think Amazon's headphones actually sound a bit better. They provide a nice, full sound and represent highs, lows and mids equally well (mainly listening to metal).Fit and Feel: Some people have complained about these falling, or feeling like they're going to fall, out of their ears. There's some validity to this, although obviously it depends on your specific ears. I don't feel like they're going to fall out at all, but if I give the cord a tug, they don't stay as secure as my Apple buds.Read more",3,296,Neutral
Has a very good Bluetooth speakers sound quality is good but otherwise she's pretty useless when it comes to get answering questions,1,22,Negative
Second remote. Stopped working. Will not work with firestick software on tv. Very carefully chose home arrows ..has a mind of it's own. Had to unplug so that it wouldn't deregister device! I did not(!) choose that selection. Bad device. Kept defaulting to video game or going to sleep/options window. However none would select. Going to look for another service.,1,60,Negative
"If you read my Fire TV review you know that I am tough on Amazon when it comes to their own items. It needs to deliver quality for the price point to earn stars from me. Please take the time to read my entire review and feel free to ask questions. I will do my best to respond to them as I can and update the review to reflect those answers and other things I discover along the way.First my background. I own many Amazon Kindles (bw, Fire gen2, Fire gen3) as well as Apple Ipad (gen 4), Samsung Note 3 and have an LG G2 smartphone (had a Samsung S4 before that), notebooks, chromebooks, etc. I have also used many other products including the Fire HDX line. I have a solid computer background as well but honestly I am more of a casual user when it comes to tablets like this one.Amazon has changed many things over the life of the Fire product line. Adding and removing features (like cameras--the first generation had one but the second generation removed them but not they are back).They are all useful devices but each one has its own niche so to speak so make sure whatever you get has the features that are important to you.Now to this model. This is like a big smartphone--which is a big difference from past kindles. It is more compact, lighter and yet still very usable. In fact for me, the shrinking of size increases the usefulness. I find that I use my smartphone way more than my tablets--even the smaller Fire HD and Samsung Note tablets so I am expecting this to replace more of that on the couch usage which is great since it so much less expensive than most smartphones. That means you can feel less bad about scratches that might occur or the accidental drops. (I am guilty of both.Read more",5,319,Positive
